,0,1
1121,294,14
1005,214,10
1011,336,8
1442,253,38
1054,161,40
1026,155,49
1449,253,38
1448,194,40
1073,274,9
1167,320,11
1048,369,9
1025,400,19
1012,194,121
1446,296,38
1447,327,38
1071,403,38
1063,522,22
1065,458,40
1115,151,58
1004,600,61
1452,745,37
1488,195,23
1443,661,38
1016,990,28
1462,1372,5
1014,797,22
1451,705,38
1490,182,13
1495,250,19
1467,540,21
11,625,5
1480,583,12
1068,1109,22
1100,478,23
1444,1043,38
1500,210,8
1499,210,8
1498,462,11
1453,1077,38
1506,470,38
1511,440,11
1464,748,5
1454,1458,38
1510,569,31
1049,1458,38
1524,310,7
1494,1055,42
1508,403,6
1050,1563,38
1512,200,14
1523,310,7
1520,164,91
1067,2109,22
1020,2000,65
1547,1000,21
1021,5473,11
1529,1521,4
1487,2534,73
1069,5589,37
1530,1515,4
1553,700,19
1554,500,19
1551,400,45
1482,340,16
1525,5456,3
1600,267,45
1565,294,14
1526,5456,5
1489,5404,6
1527,3252,4
1552,1100,19
1544,1277,4
1545,1252,4
1543,1080,4
1542,1183,4
187,178,14
1466,2126,36
1549,750,45
1546,1112,4
23499,277,42
1056,9466,39
1560,2126,36
1570,4839,6
311,937,50
1460,5300,3
1507,7400,21
285,194,121
329,160,5
333,556,18
335,554,18
334,601,18
1566,1212,101
336,267,45
31,1000,62
337,349,45
1131,193,10936
338,155,49
1555,1000,45
1496,7400,21
23,1473,25
37,768,9
1558,4521,52
1557,4177,11
1497,5456,25
18,2000,7
307,990,28
377,600,61
316,2417,130
1472,768,47
30,5473,11
1155,195,10936
1514,360,1301
36,2310,20
39,336,8
3,3196,74
1154,187,10936
1152,267,10936
1458,200,10001
1132,203,10936
22,2000,48
1116,6598,269
14,2000,77
312,2407,305
16,2000,65
1548,2500,227
1124,201,10936
40496,500,8
40474,2800,47
40475,2800,47
1144,329,10936
1136,250,10936
40647,1600,59
40497,3772,22
1147,337,10936
40649,1600,60
1164,185,10936
40646,1600,61
40669,160,13
1022,2000,1649
40665,476,169
40648,1600,61
40682,215,6
40663,399,132
40476,2800,47
40650,1600,60
40671,327,8
40680,1324,21
40690,512,19
1501,1593,257
40686,315,35
40477,2800,47
40693,973,19
40700,392,12
40702,1066,32
40710,303,31
12,2000,217
1157,321,10936
40664,1728,43
40705,959,45
40704,2201,4
40478,2800,47
40994,540,19
40916,158,20
1485,2600,501
1135,355,10936
40711,303,21
40,208,61
40687,1066,43
313,531,105
40999,2351,70
40691,1599,12
