,n_points,n_features
24,8124,22
337,349,44
446,200,7
libras-movement,360,90
thyroid-disease-thyroid-0387,9172,29
871,3848,5
799,1000,5
329,160,4
heart-disease-hungarian,294,13
389,2463,2000
778,252,14
1039,4229,1617
statlog-project-german-credit,1000,20
970,841,70
1005,214,9
40975,1728,6
50,958,9
915,315,13
41004,4704,46
27,368,22
40966,1080,77
747,167,4
wall-following-robot-navigation-24,5456,24
1100,478,10
indian-liver-patient,583,10
733,209,6
wall-following-robot-navigation-2,5456,2
40971,1000,19
1073,274,8
cnae-9,1080,856
1026,155,8
59,351,34
807,8192,8
853,506,13
803,7129,5
5,452,279
973,178,13
31,1000,20
statlog-project-landsat-satellite,4435,36
connectionist-bench-sonar,208,60
953,3190,60
haberman-survival,306,3
955,151,5
1012,194,28
ozone-level-detection-eight,2534,72
thyroid-disease-ann-thyroid,3772,21
hepatitis,155,19
40994,540,18
40982,1941,27
954,531,101
720,4177,8
925,323,4
1115,151,6
seismic-bumps,2584,18
parkinsons,195,21
iris,150,4
40978,3279,1558
horse-colic,300,22
826,576,11
thyroid-disease-sick,2800,29
blood-transfusion-service-center,748,4
38,3772,29
979,5000,40
breast-cancer-wisconsin-original,699,9
1116,6598,167
planning-relax,182,12
44,4601,57
880,284,10
7,226,69
mammographic-mass,961,5
seeds,210,7
15,699,9
983,1473,9
thyroid-disease-allbp,2800,29
37,768,8
40981,690,14
heart-disease-cleveland,303,13
40983,4839,5
818,310,8
35,366,34
breast-cancer-wisconsin-diagnostic,569,30
congressional-voting-records,435,16
788,186,60
contraceptive-method-choice,1473,9
3,3196,36
chess-king-rook-vs-king-pawn,3196,36
thyroid-disease-allhypo,2800,29
796,209,7
9,205,25
monks-problems-2,169,6
53,270,13
750,500,7
13,286,9
909,400,7
thyroid-disease-new-thyroid,215,5
40984,2310,16
2,898,38
735,8192,12
463,180,31
923,8641,4
1021,5473,10
737,3107,6
336,267,22
1016,990,12
721,200,10
cylinder-bands,540,39
934,1156,5
qsar-biodegradation,1055,41
978,2000,216
725,8192,8
thyroid-disease-allhyper,2800,29
40,208,60
heart-disease-va,200,13
181,1484,8
717,508,10
ozone-level-detection-one,2536,72
847,6574,14
